Salutation,awardeeDetail/affiliationOf/initials,awardeeDetail/affiliationOf/givenName,awardeeDetail/affiliationOf/familyName,awardeeDetail/affiliationOf/name,awardeeDetail/affiliationOf/identifier/id/orcid,Funder,PubMed Search Term,title ,Grant ID,Old Grant ID,fundingDetail/fundingTotal/currency,fundingDetail/fundingTotal/amount,Grant Stream,grantType,startDate,endDate,Lay Abstract,synopsis,awardeeDetail/name,awardeeDetail/departmentName,createdOn,awardeeDetail/affiliationOf/role,awardeeDetail/role,awardee/country,funding/country,licenceInformation/value,licenceInformation/link,fundingBodyAwardId
Dr,,Charlotte,Paddison,,,Diabetes UK,Diabetes UK,Understanding and improving the primary care experiences of people with diabetes: Using evidence from the 2012 General Practice Patient Survey,11/0004306,,GBP,42879,,RESEARCH,01-10-2012,31-12-2013,,"Quality care for all? is the first strategic priority in the Diabetes UK Research Strategy 2011-15. This study aims to address four questions: (1) How do people with diabetes describe their experiences of care in general practices? (2) How do experiences of care vary by socio-demographic, health status, and practice characteristics for people with diabetes? (3) In primary care, are patients' poor experiences associated with worse clinical outcomes? (4) Learning from 1-3 above, how can we improve primary care for people with diabetes? Using UK data from the 2012 General Practice Patient Survey (estimated to include 117,000 people with self-reported diabetes) we will describe patient experiences in five domains: access, continuity, trust and privacy, interpersonal care provided by doctors, and interpersonal care provided by nurses. We will examine whether patients' poor experiences are associated with worse clinical outcomes measured by GP Quality and Outcomes Framework indicators. Data will be analysed using mixed-effects logistic regression, and mixed-effects linear regression. Our goal is to contribute to improvements in health care quality informed by the voice of the patient. We will present the research findings at the 2013 Diabetes UK conference and in peer-reviewed journals.",University of Cambridge,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy11,NOT FOUND
Dr,,Justin,Presseau,,,Diabetes UK,Diabetes UK,Overcoming barriers to high quality care in diabetes through professional behaviour change,11/0004367,,GBP,381506,,RESEARCH,01-08-2012,31-07-2015,,"Moving clinical research findings into routine care is recognised as an inconsistent process with implications for the quality of care offered to people with diabetes. Providing evidence-based care often requires clinicians to change their behaviour. Based on findings from an on-going UK-wide study of theory-based factors associated with high quality diabetes care, we aim to evaluate the effectiveness and cost of an intervention targeting primary care clinicians to improve the behaviours involved in high quality type 2 diabetes care. We will conduct a theory-based two-armed cluster randomised controlled trial in 40 general practices in the North of England. We will target improvement in five underperformed clinical behaviours highlighted in NICE's quality standards: prescribing for hypertension and glycaemic control, providing self-management and weight advice, and general education. The intervention will be delivered within group sessions by a community diabetologist, patient representative, psychologist and a nurse. The main outcome will be change in the proportion of patients prescribed (using anonymised computer records) and advised (using anonymous patient surveys). We will also investigate whether the intervention was delivered as designed (fidelity) by coding audiotaped interventions, and operated as hypothesised (process evaluation) by analysing responses to theory-based postal surveys before and after the trial.",University of Newcastle,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy12,NOT FOUND
Dr,,Khin,Myint,,,Diabetes UK,Diabetes UK,Barriers to good transitional diabetes care in UK universities,11/0004360,,GBP,138189,,RESEARCH,01-07-2012,31-12-2014,,"Transitional care for young people with Type 1 diabetes (T1DM) is important, as many already have poor glycaemic control, psychological morbidity, and poor engagement with services. The further transition to university from school for young adults with T1DM can be a time of great disruption to family and clinical support. We have substantial pilot data from UK universities (2011), suggesting major shortcomings in coordination of care. The aims of this proposal are to a) describe the current model(s) of care for young adult school leavers with T1DM attending all 156 UK universities with an emphasis on care coordination and access to services, b) to identify obstacles to good glycaemic control - clinical, lifestyle, family support, and communication, and c) to capture the views of 500 patients with T1DM at UK universities, of health care professionals (HCP) in 156 university medical services (UMS), and secondary care diabetes teams linked to universities . This data will be collected using piloted survey questionnaires administered by a research associate (RA) over 24 months with direct contact with clinical teams, and a range of qualitative and quantitative assessments of patient and HCP views to identify models of care and barriers to engagement",Norfolk And Norwich Hospital,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy13,NOT FOUND
Professor,,Stefan,Marciniak,,,Diabetes UK,Diabetes UK,Defining the role of eIF2Î± phosphorylation in ?-cell toxicity in type II diabetes,12/0004595,,GBP,95496,,SCHOLARSHIP,01-10-2013,30-09-2016,,"A growing body of evidence implicates endoplasmic reticulum (ER) stress in the pathogenesis of diabetes. Pancreatic ?-cells experience ER stress when faced with large swings in pro-insulin synthesis and in peripheral tissues ER dysfunction induces insulin resistance. Defects in ER stress signalling frequently cause diabetes, for example mutations of the kinase Perk cause the Walcott Rallinson syndrome of neonatal diabetes, because failure to respond effectively to ER stress leads to ?-cell death. Crucially, the mechanisms by which ER dysfunction causes cell death remains obscure. To address this, we have examined the signalling pathways triggered by ER stress that regulate protein translation. To date, our work funded by Diabetes UK has focused on immortalised cell lines. It is now crucial that we determine the relevance of these pathways in primary ?-cell cultures and animals. Specific aims 1. We will characterise in isolated ?-cells the consequences on ER stress-induced toxicity of Gadd34 inactivation. 2. We will determine how the phosphorylation status of eIF2? affects ?-cell differentiation in cultured isolated islets. 3. We will determine how inactivation of the Gadd34 gene affects ?-cell function, survival and differentiation status in models of type II diabetes",University of Cambridge,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy14,NOT FOUND
Dr,,Neil,Reeves,,,Diabetes UK,Diabetes UK,Prevention of foot ulcer recurrence in diabetes patients using novel biofeedback technology.,12/0004565,,GBP,133482,,RESEARCH,01-09-2013,31-08-2016,,"Diabetic foot ulcers and their associated increased risk of lower-limb amputation present a significant problem for people with diabetes. The risk for recurrence of previously healed diabetic foot ulcers is extremely high and necessitates development of an effective intervention. High plantar pressures developed during walking are largely responsible for these high recurrence rates, but cannot be self-regulated by patients due to their loss of plantar sensitivity. We propose to use a novel biofeedback system aimed at preventing diabetic foot ulcer recurrence and subsequently improving quality of life. People with diabetes and a recently healed plantar ulcer will be randomly allocated to either biofeedback or control groups. The biofeedback group will use a novel system that measures and displays plantar pressures in real-time on a mobile phone. Patients will be trained to use this biofeedback system during their daily life to modify their plantar pressures to prevent the recurrence of foot ulcers. Patients in the control group will not receive any biofeedback but will wear insole sensors so that pressures can be measured during their daily activities. We will follow both groups over a period of 18 months and monitor the development of foot ulcers, quality of life and foot-self care.",Manchester Metropolitan University,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy15,NOT FOUND
Professor,,Luke,Chamberlain,,,Diabetes UK,Diabetes UK,Protein palmitoylation in adipocytes: role in insulin action,10/0004136,,GBP,82700,,SCHOLARSHIP,01-10-2011,30-09-2014,,"S-palmitoylation, the attachment of palmitate to cysteine residues, has emerged as a prominent post-translational modification that regulates many diverse proteins and cellular pathways. Although some key proteins involved in insulin signalling are palmitoylated, the importance of cellular palmitoylation dynamics for insulin action is not defined. The aim of this studentship is to build an understanding of how palmitoylation contributes to adipocyte physiology relevant to insulin action. This will begin by mapping the expression profiles of the 23 mammalian DHHC palmitoyl transferases, and identifying expression changes that occur during adipocyte differentiation. Recently developed techniques to study palmitoylation will be employed to purify the adipocyte palmitoylome. This will be followed by a targeted screen of the purified palmitoylome to identify known components of insulin signalling/Glut4 trafficking pathways that are palmitoylated. This targeted screening will be combined with an unbiased proteomics/mass spectrometry screen to identify novel proteins that undergo insulin-dependent changes in palmitoylation status. The role of palmitoylation in regulating specific proteins relevant to insulin action, and the global impact of palmitoylation on insulin signalling, Glut4 trafficking and fatty acid transport will be investigated. The work described will deliver entirely novel information on how palmitoylation contributes to insulin action in adipocytes.",University of Strathclyde,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy16,NOT FOUND
Professor,,Guy,Rutter,,0000-0001-6360-0343,Diabetes UK,Diabetes UK,Control of glucagon secretion by AMPK and related kinases.,11/0004210,,GBP,223219.81,,RESEARCH,01-10-2011,30-09-2014,,"Proper control of blood glucose in man requires the concerted action of both insulin and glucagon which becomes defective in both type 1 and type 2 diabetes. Using a combination of in vivo and ex vivo techniques we have provided evidence that glucose controls the release of glucagon from pancreatic islet beta -cells through changes in the activity of AMP-activated protein kinase and related kinases including per-arnt-sim kinase (PASK). Here, CreLoxP-mediated deletion of the corresponding genes selectively in the ?-cells of mice will be combined with in vivo and in vitro approaches to explore the regulation of these enzymes in the ?-cell and their contribution to the control of glucagon release. Specifically, we shall: (1) determine how glucose and other agents, including glucagon-like peptide-1 (GLP-1), control AMPK in the ?-cell, and identify the upstream AMPK kinase(s); (2) assess the contribution of AMPK?1? and ?2-containing complexes and related kinases to the control of glucagon gene expression and hormone secretion, and (3) identify novel intracellular effectors for AMPK in ?-cells using a phosphoproteomic screen. Detailed knowledge of how AMPK and related kinases control glucagon secretion may provide new therapeutic approaches to controlling blood glucose levels in diabetes.",Imperial College London,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy17,NOT FOUND
Professor,,Guy,Rutter,,0000-0001-6360-0343,Diabetes UK,Diabetes UK,Role of the Type 2 diabetes associated zinc transporter SLC30A8/ZnT8 in the control of glucagon secretion.,11/0004409,,GBP,92196,,SCHOLARSHIP,01-10-2012,30-09-2015,,"Identified by recent genome-wide association studies as influencing the risk of type 2 diabetes, ZnT8, encoded by SLC30A8, is a secretory granule Zn2+ transporter present almost exclusively in the body in pancreatic islets. Whilst the role of ZnT8 in the ? cell is increasingly well understood, its role in the control of glucagon release from ? cells is presently unclear. Using CreLoxP-mediate deletion of SLC30A8 selectively in the ? cell we have now provided evidence that ZnT8 is also a critical regulator of glucagon release. Here, we shall: (1) generate wild-type and ZnT8 null mice expressing RFP under the preproglucagon promoter in which ? cells can readily be identified; (2) perform gene expression analysis and apply state-of-the-art combined single cell electrophysiology and imaging to study glucose and other secretagogue signalling in the ? cell in the presence and absence of ZnT8; (3) explore the effect of ZnT8 elimination on the regulation of zinc homeostasis in defined subcellular compartments (cytosol, ER, mitochondria) using a toolbox of novel recombinant GFP-based probes for intracellular Zn2+. Subject to progress the impact of ZnT8 deletion on hyperglycemia engendered by the ablation of ? cells with streptozotocin or the activation of diphtheria toxin will be explored.",Imperial College London,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy18,NOT FOUND
Professor,,Guy,Rutter,,0000-0001-6360-0343,Diabetes UK,Diabetes UK,GLP-1-regulated beta cell connectivity in human and rodent islets: molecular mechanisms and role in type 2 diabetes,12/0004601,,GBP,109500,,SCHOLARSHIP,01-04-2013,31-03-2016,,"Incretins are released from specialised enteroendocrine cells in response to food intake and bile acid flux. Following circulation to the endocrine pancreas, they act upon their cognate receptors within the Islets of Langerhans to improve glucose-stimulated insulin secretion (GSIS). This incretin-stimulated glucose secretion (ISIS) is essential for counteracting the large postprandial spike in glucose concentrations. Indeed, a hallmark of T2DM pathogenesis is the loss of sensitivity to incretins, resulting in impaired insulin secretion as well as cell survival. Despite this, the mechanisms underlying the islet-wide augmentation of beta cell dynamics by incretins, and how these are targeted by T2DM contributing factors such as diet and genes, remain largely unexplored. Therefore, the aims of the current proposal are to use multicellular calcium imaging in combination with real-time measurement of insulin secretion to decode the beta-cell population responses to incretin stimulation in in vivo and ex vivo models of diet and gene-induced T2DM.",Imperial College London,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy19,NOT FOUND
,,Costanza,Emanueli,,,Diabetes UK,Diabetes UK,Investigation on microRNA-24 as a novel therapeutic target in limb ischaemia associated with diabetes.,11/0004194,,GBP,165754,,RESEARCH,01-01-2012,31-12-2013,,"When an ischaemic event occurs, the organism reacts by mounting a neovascularisation response aiming at restoring blood perfusion. This reparative response is compromised by diabetes, due to the concomitant impairment of post-ischaemic angiogenesis, which accounts for the poor clinical outcome of diabetic patients with ischaemic complications. Remedies for diabetic macro/microvascular complications are urgently needed. MicroRNAs (miRNAs) are small noncoding RNAs, which negatively regulate gene expression. We hypothesize that miRNA dysregulation in vascular endothelial cells (ECs) strongly contributes to diabetes-induced defective angiogenesis in ischaemic limbs. This project will focus on microRNA-24 (miR-24), which we found to be over-expressed in human and murine diabetic and ischaemic limb muscles and ECs. Additional pilot data show that forced miR-24 over-expression impairs the angiogenesis potential of non-diabetic ECs. In order to demonstrate that miR-24 is a potential therapeutic target for diabetes-induced microangiopathy and impaired post-ischaemic reparative neovascularisation in limbs, we will use mouse models of type-1 and type-2 diabetes, where the effect of miR-24 normalisation on blood perfusion and post-ischaemic angiogenesis will be studied. Cell and molecular biology assays will complement the project. This study should contribute to pose the basis for miRNA therapeutics in diabetic patients with limb microangiopathy and ischaemia.",University of Bristol,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy20,NOT FOUND
Professor,,Peter,Jones,,,Diabetes UK,Diabetes UK,Using mesenchymal stem cells to improve islet transplantation outcome,11/0004290,,GBP,197820.6,,RESEARCH,01-03-2012,28-02-2015,,"Islet transplantation as therapy for Type 1 diabetes is limited by the post-transplantation loss of functional islets through deleterious responses to an inflammatory, immunogenic environment. Mesenchymal stem cells (MSCs) have several properties which make them excellent candidates for improving the survival and function of transplanted islets. We and other groups have recently demonstrated beneficial effects of different MSC populations when co-transplanted with islets in animal models of diabetes. In this project we will use our existing experimental model to determine how MSCs improve islet transplantation outcomes by measuring the effects of MSCs on islet survival and function in vitro and in vivo. We will determine which population(s) of MSCs, or other stromal cells, are most effective at supporting islet function, and we will adapt our experimental model to more closely mimic the clinical situation by intraportal delivery of the islet grafts. Finally, we will validate our observations made using mouse islets and MSCs by repeating key experiments using clinically-relevant human islets and MSCs. These experimental studies have the potential to translate into improved protocols for clinical islet transplantation programmes.",King's College London,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy21,NOT FOUND
